"Mother_ID","Infant_ID","Dyad_ID","Mother_sociality","Num_dep_offspr","Mother_age","Infant_age","Infant_sex","population","group","rdate","Num_males","Num_females","Scan_clust_ID","Num_scan","Num_scan_in_prox","p.scan.prox","Oustrous_0_1"
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-06,6,8,55,1,1,1,1
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-06,0,2,56,2,2,1,0
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-11,0,4,57,1,1,1,0
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-13,0,4,58,2,2,1,1
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-13,0,6,59,2,2,1,1
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-21,0,3,60,2,2,1,0
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-21,3,3,61,1,1,1,1
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-21,4,2,62,1,1,1,1
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-21,4,3,63,1,1,1,1
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-21,4,4,64,1,1,1,1
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-21,1,4,65,1,1,1,0
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-21,0,4,66,1,1,1,0
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-21,1,4,67,1,1,1,1
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-21,1,5,68,1,1,1,1
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-21,2,5,69,1,1,1,1
4,5,"4_5",0.323,2,19,0,1,"Tai",1,2018-07-21,0,1,70,10,7,0.7,0
4,5,"4_5",0.323,2,19,1,1,"Tai",1,2018-07-24,0,4,71,1,1,1,0
4,5,"4_5",0.323,2,19,1,1,"Tai",1,2018-07-24,0,3,72,1,1,1,0
4,5,"4_5",0.323,2,19,1,1,"Tai",1,2018-07-24,3,7,73,1,1,1,1
4,5,"4_5",0.323,2,19,1,1,"Tai",1,2018-07-24,6,8,74,3,3,1,1
4,5,"4_5",0.323,2,19,1,1,"Tai",1,2018-07-24,0,6,75,1,1,1,1
4,5,"4_5",0.323,2,19,1,1,"Tai",1,2018-07-24,0,7,76,1,1,1,1
4,5,"4_5",0.323,2,19,1,1,"Tai",1,2018-07-24,1,5,77,2,2,1,0
4,5,"4_5",0.323,2,19,1,1,"Tai",1,2018-07-24,1,6,78,3,3,1,1
4,5,"4_5",0.323,2,19,1,1,"Tai",1,2018-07-24,2,6,79,2,1,0.5,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,4,2,80,1,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,1,1,81,2,1,0.5,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,5,1,82,1,1,1,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,4,1,83,1,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,2,2,84,1,1,1,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,5,5,85,5,2,0.4,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,5,4,86,1,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,5,6,87,1,1,1,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,6,7,88,1,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,3,4,89,1,1,1,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,2,4,90,1,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,3,2,91,1,1,1,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-05-16,6,8,92,1,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-05-16,2,8,93,1,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-05-16,4,8,94,1,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-05-16,1,1,95,1,1,1,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-05-16,1,2,96,4,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-05-16,0,1,97,1,1,1,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-05-16,1,2,98,8,7,0.875,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-05-16,1,1,99,4,4,1,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,3,4,100,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,1,6,101,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,0,2,102,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,2,2,103,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,1,7,104,3,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,1,8,105,2,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,1,6,106,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,0,2,107,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,4,2,108,1,1,1,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,6,5,109,1,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,3,3,110,2,2,1,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,5,4,111,1,1,1,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,5,6,112,5,4,0.8,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,6,6,113,1,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,6,7,114,1,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,5,6,115,2,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,6,6,116,1,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,5,6,117,2,2,1,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,3,2,118,5,3,0.6,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-04-17,4,2,119,1,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-05-16,1,2,120,11,6,0.545454545454545,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-05-16,1,1,121,6,5,0.833333333333333,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-05-16,1,2,122,3,0,0,1
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,0,5,123,1,1,1,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,0,6,124,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,1,5,125,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,0,1,126,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,0,3,127,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,0,4,128,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,1,2,129,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,0,1,130,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,1,3,131,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,4,3,132,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,4,2,133,1,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,4,3,134,2,0,0,0
10,11,"10_11",0.409,1,27,5,1,"Tai",1,2017-10-24,4,6,135,1,0,0,0
35,31,"35_31",0.383,3,25,0,1,"Tai",1,2017-05-10,0,2,136,1,0,0,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-03,4,3,137,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-03,0,3,138,7,7,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-03,1,3,139,10,9,0.9,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-03,0,1,140,1,0,0,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-03,0,3,141,6,6,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-28,6,4,142,4,3,0.75,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,2,6,143,2,1,0.5,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,2,8,144,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,2,9,145,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,0,1,146,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,3,7,147,3,3,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,2,6,148,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,3,7,149,3,2,0.666666666666667,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,4,9,150,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,6,8,151,6,5,0.833333333333333,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,1,4,152,3,3,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,1,5,153,3,3,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,1,6,154,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,1,7,155,2,2,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,1,6,156,2,2,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-01-30,0,1,157,2,2,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-03-18,2,4,158,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-03-18,3,5,159,2,2,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-03-18,1,1,160,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-03-18,1,3,161,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-03-18,0,2,162,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-03-18,2,2,163,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-03-18,3,3,164,4,4,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-03-18,3,4,165,2,2,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-03-30,0,4,166,11,6,0.545454545454545,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-04-12,5,5,167,2,2,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-04-12,0,3,168,2,2,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-04-12,0,1,169,5,4,0.8,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-04-12,0,4,170,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-04-12,0,3,171,2,2,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-04-12,0,2,172,3,2,0.666666666666667,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-04-12,0,3,173,8,7,0.875,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-05-19,1,1,174,2,2,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,2,3,175,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,5,3,176,1,1,1,1
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,6,4,177,3,3,1,1
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,1,2,178,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,1,1,179,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,0,1,180,3,3,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,2,2,181,3,3,1,1
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,2,3,182,3,3,1,1
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,1,2,183,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,2,4,184,1,1,1,1
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,0,3,185,7,6,0.857142857142857,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,0,2,186,2,2,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,1,5,187,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,2,5,188,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,3,6,189,3,3,1,1
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,1,3,190,1,1,1,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-06-24,0,2,191,14,12,0.857142857142857,0
35,31,"35_31",0.383,2,26,0,1,"Tai",1,2018-07-04,0,3,192,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,2,5,193,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,1,6,194,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,1,7,195,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,5,7,196,3,3,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,5,8,197,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,2,7,198,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,3,7,199,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,2,5,200,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,3,5,201,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,1,7,202,2,2,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,0,5,203,2,2,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,0,8,204,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,0,1,205,8,8,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,1,6,206,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,1,7,207,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-01-22,1,8,208,2,2,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-02-03,5,3,209,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-02-03,5,8,210,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-02-03,1,1,211,1,0,0,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-02-03,5,3,212,6,5,0.833333333333333,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-03-18,4,2,213,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-03-18,2,1,214,2,2,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-03-18,3,3,215,2,2,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-03-18,3,4,216,1,1,1,0
37,36,"37_36",0.28,3,39,0,0,"Tai",1,2018-03-18,0,1,217,1,1,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-04-13,3,2,218,1,1,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-04-13,1,1,219,1,1,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-04-13,4,3,220,3,3,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-04-13,4,2,221,2,2,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-04-13,1,1,222,1,1,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-04-13,2,1,223,1,0,0,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-04-13,2,2,224,3,2,0.666666666666667,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-04-13,3,1,225,1,1,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-04-13,3,2,226,2,2,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-04-13,4,2,227,3,3,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-04-13,1,1,228,1,1,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-04-13,0,1,229,1,1,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-04-30,1,1,230,1,1,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-05-09,6,8,231,2,2,1,1
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-05-09,6,9,232,1,1,1,1
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-05-09,4,9,233,1,1,1,1
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-05-09,4,8,234,2,2,1,1
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-05-09,1,1,235,3,3,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-05-09,0,1,236,1,1,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-05-09,0,3,237,1,1,1,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-05-09,6,8,238,1,1,1,1
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-05-09,0,1,239,11,10,0.909090909090909,0
37,36,"37_36",0.28,3,39,1,0,"Tai",1,2018-05-20,3,6,240,1,1,1,1
